DIAMETER,THICKNESS
2,0.1
2,0.16
2,0.19
2,0.25
3,0.1
3,0.19
3,0.24
3,0.31
4,0.125
4,0.188
4,0.225
4,0.25
4,0.318
5,0.125
5,0.188
5,0.25
5,0.313
5,0.375
5,0.5
6,0.125
6,0.188
6,0.25
6,0.375
6,0.5
7,0.13
7,0.25
7,0.5
7,0.63
