DIAMETER,THICKNESS
0.5,0.147
0.75,0.154
1,0.179
1.25,0.191
1.5,0.2
2,0.218
2.5,0.275
3,0.3
4,0.337
5,0.375
6,0.432
8,0.5
10,0.593
12,0.687
14,0.75
16,0.843
