DIAMETER,THICKNESS
0.5,0.05
0.5,0.095
0.5,0.15
0.75,0.05
0.75,0.095
0.75,0.15
0.75,0.2
0.75,0.25
1,0.05
1,0.095
1,0.15
1,0.2
1,0.25
1.25,0.05
1.25,0.095
1.25,0.15
1.25,0.2
1.25,0.25
1.5,0.05
1.5,0.095
1.5,0.15
1.5,0.2
1.5,0.25
2,0.05
2,0.095
2,0.15
2,0.2
2,0.25
2.5,0.05
2.5,0.095
2.5,0.15
2.5,0.2
2.5,0.25
3,0.05
3,0.095
3,0.15
3,0.2
3,0.25
4,0.05
4,0.095
4,0.15
4,0.2
4,0.25
5,0.05
5,0.095
5,0.15
5,0.2
5,0.25
6,0.095
6,0.15
6,0.2
6,0.25
8,0.2
8,0.25
10,0.25
